OBJ.VEGOBJEKT-ID;EGS.BRUKSOMRÅDE.1256;EGS.SAKSNUMMER.1822;EGS.SØKNAD MOTTATT DATO.12048;EGS.ARKIVREFERANSE, URL.12050;EGS.VEDTAK.10670;EGS.VEDTAKSDATO.11444;EGS.TILLATELSE GJELDER TIL DATO.12049;EGS.TILLEGGSINFORMASJON.11566;EGS.EIER.7993;EGS.VEDLIKEHOLDSANSVARLIG.8056;EGS.GEOMETRI, PUNKT.4753;LOK.KOMMUNE;LOK.KOMMUNENUMMER;VSR.VEGSYSTEMREFERANSE;ÅDT, total;ÅDT, andel lange kjøretøy;Fartsgrense;Avkjørsel, holdningsklasse;Funksjonsklasse;Avkjørsler;Trafikkulykker;Kurvatur, horisontal;Kurvatur, stigning;Søknadstype;Svingkategori;Vurdering
1017517910;Industri;202308537-2;24.01.2023;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=2461249&VerID=2258278;Midlertidig tillatelse;08.02.2023;01.12.2023;;Privat;Privat;POINT(278419.941 7040915.233);Trondheim;5001;FV950 S1D1 m3905;10300.0;4.0;80.0;Streng;B - Regionale hovedveger;7;20;99999.0;-4.0;Midlertidig tillatelse;Rett veg;
1016426919;Industri;202224389-2;27.06.2022;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=2253036&VerID=2064049;Midlertidig tillatelse;22.08.2022;15.08.2028;;Privat;Privat;POINT(272516.6 7040929.938);Trondheim;5001;FV6664 S1D1 m2688 KD1 m51;;;50.0;;C - Lokale hovedveger;11;55;-12.0;0.0;Midlertidig tillatelse;Krapp sving;
1017517894;Industri;202308537-2;24.01.2023;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=2461249&VerID=2258278;Midlertidig tillatelse;08.02.2023;01.12.2023;;Privat;Privat;POINT(278537.304 7040997.525);Trondheim;5001;FV950 S1D1 m4048;10300.0;4.0;80.0;Streng;B - Regionale hovedveger;6;20;99999.0;6.1;Midlertidig tillatelse;Rett veg;
1019279230;Industri;202431832-2;12.06.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=575727;Midlertidig tillatelse;18.06.2024;12.07.2024;Midlertidig anleggs avkjørsel. ;Privat;Privat;POINT(271370.412 7041435.664);Trondheim;5001;FV6666 S1D1 m1798;7400.0;4.0;40.0;Streng;C - Lokale hovedveger;28;35;99999.0;-3.2;Midlertidig tillatelse;Rett veg;
1021165690;Service;202448801-5;18.11.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=592799;Varig tillatelse;08.01.2025;08.01.2028;;;;POINT(272007.059 7043006.984);Trondheim;5001;FV6668 S1D1 m845 KD1 m46;;;50.0;;B - Regionale hovedveger;20;18;-16.0;3.0;Varig tillatelse;Krapp sving;
1019335076;Hytte;202431739-2;12.06.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=575634;Avslag;28.06.2024;28.06.2027;;;;POINT(290183.277 7087946.579);Steinkjer;5006;FV720 S7D1 m8123;120.0;19.0;80.0;Streng;B - Regionale hovedveger;3;1;-948.0;-2.6;Varig tillatelse;Slak sving (svingradius 948.0m);
1019227619;Skog/skogbruk;202430782-2;05.06.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=574673;Midlertidig tillatelse;06.06.2024;15.07.2024;;Privat;Privat;POINT(295013.523 7089932.037);Steinkjer;5006;FV720 S8D1 m3601;120.0;19.0;60.0;Streng;B - Regionale hovedveger;13;1;-805.0;-0.3;Midlertidig tillatelse;Slak sving (svingradius 805.0m);
1017521061;Bolig;202308054-2;16.01.2023;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=2445480&VerID=2243821;Varig tillatelse;24.01.2023;24.01.2026;Eksisterende avkjørsler må stenges og den opprinnelige grøften må  etableres tilbake.;Privat;Privat;POINT(325248.57 7093348.546);Steinkjer;5006;FV6950 S1D1 m148;390.0;8.0;80.0;Mindre streng;D - Lokale samleveger;2;0;-1105.0;2.5;Varig tillatelse;Veldig slak sving (svingradius 1105.0m);
1017522553;Dyrkamark/jordbruk;202242578-2;29.10.2022;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=2392226&VerID=2194336;Varig tillatelse;01.12.2022;01.12.2025;;Privat;Privat;POINT(329753.955 7094260.989);Steinkjer;5006;FV6954 S1D1 m4255;300.0;9.0;80.0;Lite streng;E - Lokale adkomstveger;2;0;99999.0;5.9;Varig tillatelse;Rett veg;
1016335423;Gardsbruk;202344149-2;30.11.2023;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=517014;Utvidet bruk;15.12.2023;15.12.2026;;Privat;Privat;POINT(328564.262 7094895.473);Steinkjer;5006;FV6954 S1D1 m5612;300.0;9.0;80.0;Lite streng;E - Lokale adkomstveger;6;0;-339.0;4.1;Utvidet bruk;Krapp sving;
1015245593;Bolig;202440622-3;20.08.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=584568;Utvidet bruk;22.08.2024;22.08.2027;;Privat;Privat;POINT(333545.108 7095025.556);Steinkjer;5006;FV759 S3D1 m2783;600.0;15.0;60.0;Streng;C - Lokale hovedveger;7;0;99999.0;3.7;Utvidet bruk;Rett veg;
1015245594;Bolig;202440622-3;20.08.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=584568;Varig tillatelse;22.08.2024;22.08.2027;Skal saneres. ;Privat;Privat;POINT(333571.426 7095095.241);Steinkjer;5006;FV759 S3D1 m2856;600.0;15.0;60.0;Streng;C - Lokale hovedveger;8;0;99999.0;3.7;Varig tillatelse;Rett veg;
1016426814;Gardsbruk;202221864-3;15.06.2022;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=2264789&VerID=2075174;Varig tillatelse;23.08.2022;23.08.2025;Gammel avkjørsel skal fjernes;Privat;Privat;POINT(349103.073 7097519.01);Steinkjer;5006;FV6966 S1D1 m10799;241.0;10.0;80.0;Lite streng;E - Lokale adkomstveger;6;0;99999.0;0.6;Varig tillatelse;Rett veg;
1015534110;Gardsbruk;202428974-2;09.05.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=572854;Varig tillatelse;24.05.2024;24.05.2027;Denne avkjørselen skal stenges, da vi har gitt tillatelse til å flytte avkjørselen litt nord-øst. ;Privat;Privat;POINT(339650.298 7103427.93);Steinkjer;5006;FV762 S3D1 m4155;523.0;11.0;40.0;Mindre streng;D - Lokale samleveger;7;0;-68.0;10.3;Varig tillatelse;Krapp sving;
1015534112;Gardsbruk;202428974-2;09.05.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=572854;Varig tillatelse;24.05.2024;24.05.2027;Flytting av avkjørsel, eksisterende skal stenges. ;Privat;Privat;POINT(339692.01 7103479.286);Steinkjer;5006;FV762 S3D1 m4221;523.0;11.0;40.0;Mindre streng;D - Lokale samleveger;7;0;591.0;-0.3;Varig tillatelse;Slak sving (svingradius 591.0m);
1017517636;Bolig;202311566-2;22.02.2023;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=2479965&VerID=2275603;Varig tillatelse;01.03.2023;23.03.2026;;Privat;Privat;POINT(330606.017 7103860.695);Steinkjer;5006;FV762 S2D1 m2079;3000.0;9.0;60.0;Streng;C - Lokale hovedveger;15;7;-915.0;-1.9;Varig tillatelse;Slak sving (svingradius 915.0m);
1019308059;Bolig;202429833-2;22.05.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=573713;Varig tillatelse;21.06.2024;21.06.2027;;Privat;Privat;POINT(331338.012 7104918.462);Steinkjer;5006;FV6970 S1D1 m1115;400.0;8.0;30.0;Lite streng;E - Lokale adkomstveger;33;1;-341.0;-0.8;Varig tillatelse;Krapp sving;Enkel
1022497014;Skog/skogbruk;202513686-2;14.03.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=611595;Varig tillatelse;18.03.2025;18.03.2028;;Privat;Privat;POINT(304972.252 7105162.183);Steinkjer;5006;FV6330 S6D1 m3035;260.0;10.0;80.0;Lite streng;E - Lokale adkomstveger;0;1;-361.0;2.2;Varig tillatelse;Krapp sving;Enkel
1015417056;Bolig;202213495-2;11.03.2022;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=2101151&VerID=1921159;Varig tillatelse;08.04.2022;;;Privat;Privat;POINT(333448.281 7106834.429);Steinkjer;5006;FV763 S1D1 m6402;1800.0;13.0;80.0;Streng;C - Lokale hovedveger;6;3;99999.0;-0.1;Varig tillatelse;Rett veg;
1015534426;Bolig;202510793-2;20.02.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=608687;Utvidet bruk;10.03.2025;10.03.2028;;Privat;Privat;POINT(334397.636 7107161.933);Steinkjer;5006;FV763 S1D1 m7609;1300.0;15.0;80.0;Streng;C - Lokale hovedveger;4;5;99999.0;-2.3;Utvidet bruk;Rett veg;
1014874163;Gardsbruk;202435437-2;17.07.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=579352;Utvidet bruk;18.07.2024;18.07.2027;;Privat;Privat;POINT(319788.269 7107956.412);Steinkjer;5006;FV6982 S2D1 m1859;450.0;15.0;80.0;Mindre streng;D - Lokale samleveger;6;0;99999.0;-0.3;Utvidet bruk;Rett veg;
1019733620;Bolig;202441735-2 ;18.08.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=585681;Avslag;21.08.2024;21.08.2027;;;;POINT(336210.636 7110538.584);Steinkjer;5006;FV6980 S1D1 m192;160.0;9.0;50.0;Lite streng;E - Lokale adkomstveger;17;0;-1039.0;0.6;Varig tillatelse;Veldig slak sving (svingradius 1039.0m);Vanskelig
1016026764;Gardsbruk;202422379-2;13.03.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=566179;Utvidet bruk;05.04.2024;05.04.2027;;Privat;Privat;POINT(331826.711 7118164.849);Steinkjer;5006;FV6996 S1D1 m9039;200.0;13.0;80.0;Lite streng;E - Lokale adkomstveger;7;0;-89.0;11.7;Utvidet bruk;Krapp sving;Enkel
1022499882;Skog/skogbruk;202513137-2;10.03.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=611041;Varig tillatelse;04.04.2025;04.04.2028;;Privat;Privat;POINT(337986.377 7119451.942);Steinkjer;5006;FV6994 S1D1 m6643;120.0;9.0;80.0;Lite streng;E - Lokale adkomstveger;4;0;-1000.0;3.3;Varig tillatelse;Veldig slak sving (svingradius 1000.0m);Enkel
1016426785;Bolig;202228317-2;03.08.2022;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=2271489&VerID=2081501;Varig tillatelse;29.08.2022;29.08.2025;;Fylkeskommune;Fylkeskommune;POINT(317184.321 7136541.564);Namsos;5007;FV17 S5D1 m5231;1500.0;18.0;80.0;Meget streng;B - Regionale hovedveger;8;7;99999.0;0.0;Varig tillatelse;Rett veg;
1024620046;Skog/skogbruk;202525997;23.06.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=624007#;Varig tillatelse;08.07.2025;08.07.2028;;Privat;Privat;POINT(332171.417 7142368.89);Namsos;5007;FV7062 S1D1 m5801;548.0;14.0;80.0;Lite streng;E - Lokale adkomstveger;1;0;-124.0;-0.9;Varig tillatelse;Krapp sving;Enkel
1024620849;Skog/skogbruk;202524395;09.06.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=622391#;Varig tillatelse;11.07.2025;11.07.2028;;Privat;Privat;POINT(310523.822 7150549.869);Namsos;5007;FV766 S3D1 m4710;625.0;12.0;80.0;Streng;C - Lokale hovedveger;3;1;99999.0;0.2;Varig tillatelse;Rett veg;
1015967367;Bolig;202213182-2;07.03.2022;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=2120728&VerID=1939451;Varig tillatelse;04.05.2022;;Bygget men ikke levert ferdigmelding. Eksisterende driftsavkjørsel er ikke stengt. Stikkrenne ikke innmålt.;Privat;Privat;POINT(319392.591 7159813.727);Namsos;5007;FV7070 S1D1 m2755;120.0;15.0;80.0;Lite streng;E - Lokale adkomstveger;16;1;99999.0;5.0;Varig tillatelse;Rett veg;
1025232234;Bolig;202538087;25.08.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=636119#;Midlertidig tillatelse;09.09.2025;;Tillatelse fram til reguleringsplan er på plass. ;Privat;Privat;POINT(321895.401 7159957.115);Namsos;5007;FV7068 S1D1 m163;557.0;33.0;50.0;Lite streng;E - Lokale adkomstveger;12;1;-296.0;2.6;Midlertidig tillatelse;Krapp sving;Vanskelig
1025232185;Bolig;202445272;11.09.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=589222#;Varig tillatelse;05.09.2025;05.09.2028;;Privat;Privat;POINT(334716.802 7160954.64);Namsos;5007;FV7066 S1D1 m834;300.0;9.0;60.0;Lite streng;E - Lokale adkomstveger;7;1;-47.0;-1.0;Varig tillatelse;Krapp sving;Vanskelig
1025232213;Skog/skogbruk;202539131;29.08.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=637166#;Midlertidig tillatelse;08.09.2025;24.10.2025;;Privat;Privat;POINT(332187.392 7164178.982);Namsos;5007;FV769 S3D1 m1734;883.0;14.0;80.0;Streng;C - Lokale hovedveger;3;1;-211.0;-6.3;Midlertidig tillatelse;Krapp sving;
1016343874;Gardsbruk;202431822-2;13.06.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=575717;Utvidet bruk;03.07.2024;03.07.2027;;Privat;Privat;POINT(341274.302 7167252.592);Namsos;5007;FV7066 S2D1 m3636;200.0;9.0;80.0;Lite streng;E - Lokale adkomstveger;15;0;1183.0;-3.1;Utvidet bruk;Veldig slak sving (svingradius 1183.0m);Enkel
1016355501;Gardsbruk;202335294-4;05.09.2023;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=508073;Utvidet bruk;24.10.2023;24.10.2026;;Privat;Privat;POINT(324840.691 7171885.084);Namsos;5007;FV7078 S1D1 m1309;100.0;12.0;60.0;Lite streng;E - Lokale adkomstveger;17;0;99999.0;3.5;Utvidet bruk;Rett veg;
1024050683;Service;202522246;21.05.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=620195#;Varig tillatelse;05.06.2025;05.06.2028;;Privat;Privat;POINT(321005.624 7173319.1);Namsos;5007;FV7082 S1D10 m176;32.0;16.0;80.0;Lite streng;E - Lokale adkomstveger;6;0;99999.0;-0.4;Varig tillatelse;Rett veg;Vanskelig
1024619858;Dyrkamark/jordbruk;202525123;17.06.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=623119#;Varig tillatelse;04.07.2025;04.07.2028;;Privat;Privat;POINT(320992.504 7173508.176);Namsos;5007;FV7082 S1D1 m526;100.0;9.0;80.0;Lite streng;E - Lokale adkomstveger;7;0;99999.0;3.0;Varig tillatelse;Rett veg;Enkel
1016355872;Skog/skogbruk;202331584-3;16.08.2023;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=504346;Utvidet bruk;25.09.2023;25.09.2026;;Privat;Privat;POINT(322563.986 7175546.813);Namsos;5007;FV7080 S1D1 m7408;240.0;9.0;80.0;Lite streng;E - Lokale adkomstveger;4;0;99999.0;1.9;Utvidet bruk;Rett veg;
615921561;Gardsbruk;202511140-3;24.02.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=609034;Utvidet bruk;21.03.2025;21.03.2028;;Privat;Privat;POINT(182560.47 7076501.77);Frøya;5014;FV6462 S1D1 m2349;200.0;22.0;50.0;Lite streng;E - Lokale adkomstveger;20;1;886.0;-2.6;Utvidet bruk;Slak sving (svingradius 886.0m);Enkel
615921139;Hytte;202246250-4;23.03.2023;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=471676;Utvidet bruk;14.04.2023;14.04.2026;;Privat;Privat;POINT(169381.423 7077448.828);Frøya;5014;FV6460 S2D1 m5117;400.0;25.0;50.0;Lite streng;E - Lokale adkomstveger;21;3;1164.0;0.4;Utvidet bruk;Veldig slak sving (svingradius 1164.0m);
1018244964;Service;202334813-2;30.08.2023;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=507582;Varig tillatelse;07.09.2023;07.09.2026;;Privat;Privat;POINT(191611.068 7078216.416);Frøya;5014;FV716 S4D1 m3339;1100.0;18.0;80.0;Mindre streng;D - Lokale samleveger;1;1;-304.0;0.3;Varig tillatelse;Krapp sving;
