OBJ.VEGOBJEKT-ID;EGS.BRUKSOMRÅDE.1256;EGS.SAKSNUMMER.1822;EGS.SØKNAD MOTTATT DATO.12048;EGS.ARKIVREFERANSE, URL.12050;EGS.VEDTAK.10670;EGS.VEDTAKSDATO.11444;EGS.TILLATELSE GJELDER TIL DATO.12049;EGS.TILLEGGSINFORMASJON.11566;EGS.EIER.7993;EGS.VEDLIKEHOLDSANSVARLIG.8056;EGS.GEOMETRI, PUNKT.4753;LOK.KOMMUNE;LOK.KOMMUNENUMMER;VSR.VEGSYSTEMREFERANSE;ÅDT, total;ÅDT, andel lange kjøretøy;Fartsgrense;Avkjørsel, holdningsklasse;Funksjonsklasse;Avkjørsler;Trafikkulykker;Kurvatur, horisontal;Kurvatur, stigning
607413153;Dyrkamark/jordbruk;202445172-2;10.09.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=589122;Varig tillatelse;18.09.2024;18.09.2027;;Privat;Privat;;Ørland;5057;FV6392 S1D1 m264;1690;9;60;Mindre streng;D - Lokale samleveger;10;3;-730;0.0
607413228;Bolig;202424751-2;08.04.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=568555;Utvidet bruk;03.05.2024;03.05.2024;;Privat;Privat;;Ørland;5057;FV6392 S2D1 m840;550;10;60;Mindre streng;D - Lokale samleveger;10;5;-186;-7.3
608011038;Gardsbruk;202522248;21.05.2025;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=3456061&VerID=3254109;Endret bruk;23.07.2025;28.11.2025;Tiltak: Midlertidig utvidelse og bruksendring av avkjørsel;Privat;Privat;;Ørland;5057;FV6406 S1D1 m4777;193;26;60;Mindre streng;D - Lokale samleveger;19;0;-1478;-0.1
1022569230;Forretning;202519020;17.04.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=616964#;Avslag;09.05.2025;;;;;;Ørland;5057;FV6346 S1D1 m45;350;9;60;Lite streng;E - Lokale adkomstveger;3;0;-327;-2.7
604331057;Gardsbruk;202432190-2;17.06.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=576085;Utvidet bruk;27.11.2024;27.11.2027;;Privat;Privat;;Åfjord;5058;FV6328 S1D1 m2831;718;8;80;Lite streng;E - Lokale adkomstveger;4;2;2722;-0.6
600313582;Skog/skogbruk;202316503-4;14.08.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=489167;Midlertidig tillatelse;28.08.2024;01.09.2025;Midlertidig utvidet bruk ;Privat;Privat;;Åfjord;5058;FV6312 S1D1 m1793;300;11;80;Lite streng;E - Lokale adkomstveger;4;0;135;-5.3
600313586;Bolig;202440621-2;14.08.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=584567;Utvidet bruk;30.08.2024;30.08.2027;;Privat;Privat;;Åfjord;5058;FV6312 S1D1 m3081;300;11;80;Lite streng;E - Lokale adkomstveger;11;0;-112;-8.1
619482490;Bolig;202518618-2 ;10.04.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=616546;Varig tillatelse;14.04.2025;14.04.2028;Denne avkjørselen skal saneres når ny er etablert. ;Privat;Privat;;Orkland;5059;FV6496 S1D1 m11578;450;11;80;Lite streng;E - Lokale adkomstveger;9;1;-1703;0.5
1022569329;Gardsbruk;202515765;18.03.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=613674#;Varig tillatelse;06.05.2025;06.05.2028;;Privat;Privat;;Orkland;5059;FV6434 S2D1 m9390;260;11;80;Lite streng;E - Lokale adkomstveger;9;0;109;-4.4
1019267572;Gardsbruk;202430330-2;30.05.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=574220;Varig tillatelse;17.06.2024;17.06.2027;;Privat;Privat;POINT(273307.936 7021131.78);Trondheim;5001;FV704 S3D1 m4975;550;11;60;Lite streng;E - Lokale adkomstveger;8;1;-800;1.4
1017175860;Hytte;202242058-2;01.11.2022;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=2397993&VerID=2199829;Varig tillatelse;08.12.2022;08.12.2025;;Privat;Privat;POINT(276407.46 7023259.405);Trondheim;5001;FV6704 S1D1 m2795;293;7;50;Lite streng;E - Lokale adkomstveger;14;0;-184;1.8
1015256287;Bolig;202212487-4;16.06.2022;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=2079688&VerID=1900727;Utvidet bruk;22.06.2022;31.03.2025;Eksisterende avkjørsel skal fjernes ved etablering av ny;Privat;Privat;POINT(276847.415 7023844.502);Trondheim;5001;FV6704 S1D1 m3559;293;7;50;Lite streng;E - Lokale adkomstveger;10;0;835;-2.6
1024549899;Industri;202519130;23.04.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=617074;Utvidet bruk;27.06.2025;27.06.2028;;Privat;Privat;POINT(275037.733 7029309.502);Trondheim;5001;FV6700 S1D1 m2437;800;7;50;Lite streng;E - Lokale adkomstveger;16;0;646;-2.6
721931431;Dyrkamark/jordbruk;202432337-2;20.06.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=576232;Utvidet bruk;27.06.2024;27.06.2027;Utvidet bruk og endring/forbedring av avkjørselen.;Privat;Privat;POINT(273846.477 7029724.984);Trondheim;5001;FV6680 S2D1 m2267;1500;13;60;Streng;C - Lokale hovedveger;10;6;432;-0.3
721931498;Dyrkamark/jordbruk;202408113-2    ;29.01.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=551818;Midlertidig tillatelse;06.02.2024;01.07.2026;;Privat;Privat;POINT(273819.511 7030503.291);Trondheim;5001;FV6680 S2D1 m1406;1500;13;80;Streng;C - Lokale hovedveger;4;6;-716;4.4
721935869;Bolig;202400303-2;02.01.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=543995;Utvidet bruk;16.01.2024;16.01.2027;;Privat;Privat;POINT(266084.295 7030733.901);Trondheim;5001;FV6682 S1D1 m1116;3300;8;60;Streng;B - Regionale hovedveger;14;4;-213;3.0
1018726046;Service;202408113-2;29.01.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=551818;Midlertidig tillatelse;06.02.2024;01.07.2026;;Privat;Privat;POINT(273887.285 7030738.943);Trondheim;5001;FV6680 S2D1 m1161;1500;13;80;Streng;C - Lokale hovedveger;4;8;196;1.2
1016119247;Skog/skogbruk;202216999-3;13.04.2022;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=2222666&VerID=2035356;Varig tillatelse;06.07.2022;06.07.2025;;Privat;Privat;POINT(276849.783 7031876.062);Trondheim;5001;FV6674 S1D1 m6993;280;9;80;Lite streng;E - Lokale adkomstveger;4;0;-955;-4.0
721509289;Bolig;202413031-2;13.03.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=556831;Endret bruk;26.03.2024;26.03.2027;;Privat;Privat;POINT(273279.046 7032005.302);Trondheim;5001;FV6674 S1D1 m2591;1100;7;40;Mindre streng;D - Lokale samleveger;13;2;99999;1.9
721509283;Gardsbruk;202337959-4;05.04.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=510747;Midlertidig tillatelse;22.04.2024;01.06.2025;;Privat;Privat;POINT(272837.919 7032013.302);Trondheim;5001;FV6674 S1D1 m2131;1100;7;40;Mindre streng;D - Lokale samleveger;18;1;-173;-3.4
721509258;Bolig;202215772-2;28.03.2022;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=2246640&VerID=2058020;Varig tillatelse;10.08.2022;;;Privat;Privat;POINT(271936.507 7032939.925);Trondheim;5001;FV6674 S1D1 m647;1100;7;50;Mindre streng;D - Lokale samleveger;13;3;-70;-0.7
721724178;Bolig;202450216-2;06.11.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=594240;Utvidet bruk;18.11.2024;18.11.2027;;Privat;Privat;POINT(275589.876 7033292.657);Trondheim;5001;FV6678 S1D1 m5032;882;13;80;Mindre streng;D - Lokale samleveger;5;1;99999;2.5
715957904;Bolig;202445856-2;19.09.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=589807;Endret bruk;07.10.2024;07.10.2027;;Privat;Privat;POINT(259399.613 7033502.979);Trondheim;5001;FV707 S2D1 m3483;2200;15;60;Streng;B - Regionale hovedveger;9;3;99999;-5.8
722536404;Bolig;202237807-2;27.09.2022;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=2340569&VerID=2147081;Midlertidig tillatelse;07.10.2022;;;Privat;Privat;POINT(268243.555 7034365.289);Trondheim;5001;FV6688 S1D1 m968;11000;4;50;Streng;B - Regionale hovedveger;2;10;94;-2.6
1017522246;Industri;202246521-4;19.01.2023;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=2440241&VerID=2239014;Midlertidig tillatelse;18.01.2023;15.06.2024;;Privat;Privat;POINT(268265.023 7034478.535);Trondheim;5001;FV6682 S1D1 m5794;2500;5;60;Streng;B - Regionale hovedveger;6;22;-219;-2.9
1017522247;Industri;202246521-4;19.01.2023;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=2440241&VerID=2239014;Midlertidig tillatelse;18.01.2023;15.06.2024;;Privat;Privat;POINT(268259.026 7034479.373);Trondheim;5001;FV6682 S1D1 m5794;2500;5;60;Streng;B - Regionale hovedveger;6;22;-219;-2.9
1019597851;Industri;202435492-2;18.07.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=579407;Midlertidig tillatelse;19.07.2024;30.09.2024;;;;POINT(268275.731 7034534.352);Trondheim;5001;FV6682 S1D1 m5851;2500;5;60;Streng;B - Regionale hovedveger;6;22;327;-2.9
1019597852;Industri;202435492-2;18.07.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=579407;Midlertidig tillatelse;19.07.2024;30.09.2024;;;;POINT(268265.377 7034535.422);Trondheim;5001;FV6682 S1D1 m5851;2500;5;60;Streng;B - Regionale hovedveger;6;22;327;-2.9
1015228972;;202200486-2;03.01.2022;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=2010214&VerID=1836440;Midlertidig tillatelse;08.02.2022;30.09.2023;Midlertidig anleggsavkjørsel 08/22-09/23;Kommune;Kommune;POINT(271869.657 7036396.853);Trondheim;5001;FV6680 S1D1 m3238;2060;16;50;Streng;B - Regionale hovedveger;18;9;99999;-2.7
721130267;Bolig;202453260-2 ;13.12.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=597325;Utvidet bruk;02.01.2025;02.01.2028;;Privat;Privat;POINT(254066.954 7037144.117);Trondheim;5001;FV6652 S1D1 m8046;1300;8;60;Lite streng;E - Lokale adkomstveger;8;0;-1676;4.9
1016119432;Bolig;202221665-2;15.06.2022;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=2228320&VerID=2040655;Utvidet bruk;08.07.2022;;;Privat;Privat;POINT(272756.543 7038746.442);Trondheim;5001;FV6662 S1D100 m613;;;;;;0;0;;
1017517921;Industri;202308537-2;24.01.2023;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=2461249&VerID=2258278;Midlertidig tillatelse;08.02.2023;01.12.2023;;Privat;Privat;POINT(277893.908 7040622.004);Trondheim;5001;FV950 S1D1 m3300;10300;4;60;Streng;B - Regionale hovedveger;4;19;99999;-6.5
721130224;Gardsbruk;202336871-2;21.09.2023;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=509655;Utvidet bruk;29.09.2023;29.09.2026;;Privat;Privat;POINT(254761.601 7040703.481);Trondheim;5001;FV6652 S1D1 m4014;1300;8;60;Lite streng;E - Lokale adkomstveger;5;0;525;0.2
1017517919;Industri;202308537-2;24.01.2023;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=2461249&VerID=2258278;Midlertidig tillatelse;08.02.2023;01.12.2023;;Privat;Privat;POINT(278088.874 7040704.218);Trondheim;5001;FV950 S1D1 m3512;10300;4;80;Streng;B - Regionale hovedveger;5;21;99999;-6.5
1017517917;Industri;202308537-2;24.01.2023;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=2461249&VerID=2258278;Midlertidig tillatelse;08.02.2023;01.12.2023;;Privat;Privat;POINT(278199.287 7040763.085);Trondheim;5001;FV950 S1D1 m3637;10300;4;80;Streng;B - Regionale hovedveger;6;15;-1309;-6.5
1017517915;Industri;202308537-2;24.01.2023;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=2461249&VerID=2258278;Midlertidig tillatelse;08.02.2023;01.12.2023;;Privat;Privat;POINT(278275.751 7040812.682);Trondheim;5001;FV950 S1D1 m3728;10300;4;80;Streng;B - Regionale hovedveger;6;18;-1309;-6.5
1015967222;Industri;202217228-2;20.04.2022;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=2117784&VerID=1936700;Midlertidig tillatelse;29.04.2022;01.05.2023;;Privat;Privat;POINT(270407.338 7040897.522);Trondheim;5001;FV6666 S1D1 m181;4840;14;40;Streng;B - Regionale hovedveger;10;19;729;2.5
1017517910;Industri;202308537-2;24.01.2023;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=2461249&VerID=2258278;Midlertidig tillatelse;08.02.2023;01.12.2023;;Privat;Privat;POINT(278419.941 7040915.233);Trondheim;5001;FV950 S1D1 m3905;10300;4;80;Streng;B - Regionale hovedveger;7;20;99999;-4.0
1016426919;Industri;202224389-2;27.06.2022;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=2253036&VerID=2064049;Midlertidig tillatelse;22.08.2022;15.08.2028;;Privat;Privat;POINT(272516.6 7040929.938);Trondheim;5001;FV6664 S1D1 m2688 KD1 m51;;;50;;C - Lokale hovedveger;11;55;-12;0.0
1017517894;Industri;202308537-2;24.01.2023;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=2461249&VerID=2258278;Midlertidig tillatelse;08.02.2023;01.12.2023;;Privat;Privat;POINT(278537.304 7040997.525);Trondheim;5001;FV950 S1D1 m4048;10300;4;80;Streng;B - Regionale hovedveger;6;20;99999;6.1
1019279230;Industri;202431832-2;12.06.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=575727;Midlertidig tillatelse;18.06.2024;12.07.2024;Midlertidig anleggs avkjørsel. ;Privat;Privat;POINT(271370.412 7041435.664);Trondheim;5001;FV6666 S1D1 m1798;7400;4;40;Streng;C - Lokale hovedveger;28;35;99999;-3.2
1021165690;Service;202448801-5;18.11.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=592799;Varig tillatelse;08.01.2025;08.01.2028;;;;POINT(272007.059 7043006.984);Trondheim;5001;FV6668 S1D1 m845 KD1 m46;;;50;;B - Regionale hovedveger;20;18;-16;3.0
1019335076;Hytte;202431739-2;12.06.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=575634;Avslag;28.06.2024;28.06.2027;;;;POINT(290183.277 7087946.579);Steinkjer;5006;FV720 S7D1 m8123;120;19;80;Streng;B - Regionale hovedveger;3;1;-948;-2.6
1019227619;Skog/skogbruk;202430782-2;05.06.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=574673;Midlertidig tillatelse;06.06.2024;15.07.2024;;Privat;Privat;POINT(295013.523 7089932.037);Steinkjer;5006;FV720 S8D1 m3601;120;19;60;Streng;B - Regionale hovedveger;13;1;-805;-0.3
