"OBJ.VEGOBJEKT-ID";"EGS.BRUKSOMRÅDE.1256";"EGS.SAKSNUMMER.1822";"EGS.S√òKNAD MOTTATT DATO.12048";"EGS.ARKIVREFERANSE, URL.12050";"EGS.VEDTAK.10670";"EGS.VEDTAKSDATO.11444";"EGS.TILLATELSE GJELDER TIL DATO.12049";"EGS.TILLEGGSINFORMASJON.11566";"EGS.EIER.7993";"EGS.VEDLIKEHOLDSANSVARLIG.8056";"EGS.GEOMETRI, PUNKT.4753";"LOK.KOMMUNE";"LOK.KOMMUNENUMMER";"VSR.VEGSYSTEMREFERANSE";"ADT_total";"√ÖDT, andel lange kj√∏ret√∏y";"Fartsgrense";"Holdningsklasse";"Funksjonsklasse";"Avkjorsler";"Trafikkulykker";"Vurdering";"Kommentar";"Kurvatur, horisontal";"Kurvatur, stigning";"ÅDT, total";"ÅDT, andel lange kjøretøy";"Avkjørsel, holdningsklasse";"Søknadstype"
601256000;"Skog/skogbruk";"202448159-2";"10.10.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=592157";"Midlertidig tillatelse";"29.10.2024";"29.10.2027";"Usikker p√• om denne avkj√∏rselen er godkjent fra tidligere.";"Privat";"Privat";"";"Midtre Gauldal";5027;"FV30 S5D1 m2915";1300.0;10.0;80.0;"Streng";"B - Regionale hovedveger";4;3;"";"";-478.0;-2.4;1300.0;10.0;"Streng";"Midlertidig tillatelse"
716506622;"Bolig";"202518851";"15.04.2025";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=616795#";"Utvidet bruk";"13.05.2025";"13.05.2028";"";"Privat";"Privat";"";"Melhus";5028;"FV6594 S1D1 m4277";703.0;9.0;60.0;"Streng";"C - Lokale hovedveger";6;3;"";"";2677.0;2.4;703.0;9.0;"Streng";"Utvidet bruk"
716024751;"Bolig";"202450592-2 ";"12.11.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=594616";"Utvidet bruk";"26.11.2024";"26.11.2027";"";"Privat";"Privat";"";"Skaun";5029;"FV708 S1D1 m8529";1630.0;9.0;50.0;"";"C - Lokale hovedveger";8;5;"";"";-198.0;-1.1;1630.0;9.0;"";"Utvidet bruk"
719345046;"Bolig";"202521572";"14.05.2025";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=619521";"Utvidet bruk";"15.05.2025";"";"";"Privat";"Privat";"";"Skaun";5029;"FV6626 S1D1 m596";201.0;15.0;80.0;"Lite streng";"E - Lokale adkomstveger";14;1;"Enkel";"";713.0;0.4;201.0;15.0;"Lite streng";"Utvidet bruk"
719460568;"Bolig";"202453232-2";"16.12.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=597297";"Utvidet bruk";"18.12.2024";"18.12.2027";"";"Privat";"Privat";"";"Skaun";5029;"FV6634 S1D1 m1897";90.0;7.0;80.0;"Lite streng";"E - Lokale adkomstveger";8;1;"Vanskelig";"";80.0;10.9;90.0;7.0;"Lite streng";"Utvidet bruk"
1022607902;"Hytte";"";"23.04.2025";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=617065#";"Avslag";"29.04.2025";"";"";"Privat";"Privat";"";"Skaun";5029;"FV800 S3D1 m1539";2500.0;8.0;70.0;"Streng";"C - Lokale hovedveger";8;10;"";"";-2669.0;2.4;2500.0;8.0;"Streng";"Varig tillatelse"
1024479996;"Industri";"202118399";"23.05.2025";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=393862";"Midlertidig tillatelse";"10.06.2025";"01.08.2027";"";"Privat";"Privat";"";"Malvik";5031;"FV6706 S1D1 m1905";1200.0;12.0;60.0;"Streng";"B - Regionale hovedveger";14;3;"";"";99999.0;-0.4;1200.0;12.0;"Streng";"Midlertidig tillatelse"
721319043;"Gardsbruk";"202527324";"30.06.2025";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=625355#";"Utvidet bruk";"14.07.2025";"14.07.2028";"";"Privat";"Privat";"";"Malvik";5031;"FV6670 S1D1 m1878";600.0;10.0;50.0;"Mindre streng";"D - Lokale samleveger";23;0;"";"";350.0;6.3;600.0;10.0;"Mindre streng";"Utvidet bruk"
1024479995;"Industri";"202118399";"23.05.2025";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=393862";"Midlertidig tillatelse";"10.06.2025";"01.08.2027";"";"Privat";"Privat";"";"Malvik";5031;"FA6706 S1001D1 m193";"";"";"";"";"";0;0;"";"";"";"";"";"";"";"Midlertidig tillatelse"
715901994;"Dyrkamark/jordbruk";"202444206-4";"02.09.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=588153";"Midlertidig tillatelse";"08.11.2024";"23.12.2024";"Midlertidig endret bruk av avkj√∏rselen. ";"Privat";"Privat";"";"Tydal";5033;"FV705 S8D1 m5980";799.0;16.0;80.0;"Streng";"B - Regionale hovedveger";9;2;"";"";-821.0;4.1;799.0;16.0;"Streng";"Midlertidig tillatelse"
715901993;"Skog/skogbruk";"202444206-4";"02.09.2024";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=588153";"Midlertidig tillatelse";"08.11.2024";"23.12.2024";"Midlertidig endret bruk av avkj√∏rselen. ";"Privat";"Privat";"";"Tydal";5033;"FV705 S8D1 m5867";799.0;16.0;80.0;"Streng";"B - Regionale hovedveger";8;2;"";"";110.0;4.1;799.0;16.0;"Streng";"Midlertidig tillatelse"
1024620199;"Bolig";"202524823";"12.06.2025";"https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=622819#";"Utvidet bruk";"09.07.2025";"09.07.2028";"";"Privat";"Privat";"";"Stj√∏rdal";5035;"FV6788 S2D1 m18";951.0;11.0;40.0;"Lite streng";"E - Lokale adkomstveger";8;0;"Enkel";"";99999.0;1.2;951.0;11.0;"Lite streng";"Utvidet bruk"
