OBJ.VEGOBJEKT-ID;OBJ.TYPE-ID;OBJ.VERSJON;MET.FØRSTE FOREKOMST;MET.OPPRETTET DATO;OBJ.STARTDATO;OBJ.SLUTTDATO;OBJ.SIST MODIFISERT;EGS.BRUKSOMRÅDE.1256;EGS.PRIMÆRAKTIVITET.1824;EGS.AVSTAND PERSONAKTIVITET (M).1823;EGS.STIGNING (NULL).1825;EGS.BREDDE (M).1682;EGS.DRENERINGSFORHOLD.1828;EGS.SIKTFORHOLD.12051;EGS.SAKSNUMMER.1822;EGS.SØKNAD MOTTATT DATO.12048;EGS.ARKIVREFERANSE, URL.12050;EGS.VEDTAK.10670;EGS.VEDTAKSDATO.11444;EGS.TILLATELSE GJELDER TIL DATO.12049;EGS.KONTROLLERT- OG GODKJENTDATO.11445;EGS.ETABLERINGSÅR.10267;EGS.TILLEGGSINFORMASJON.11566;EGS.EIER.7993;EGS.VEDLIKEHOLDSANSVARLIG.8056;EGS.GEOMETRI, PUNKT.4753;LOK.KOMMUNE;LOK.KOMMUNENUMMER;LOK.FYLKE;LOK.FYLKESNUMMER;LOK.RIKSVEGRUTE;LOK.KONTRAKTSOMRÅDE;VSR.VEGSYSTEMREFERANSE;VSR.VEGKATEGORI;VSR.FASE;VSR.VEGNUMMER;VSR.STREKNING;VSR.DELSTREKNING;VSR.FRA_METER;VSR.TIL_METER;LOK.VEGLENKESEKVENSID;LOK.STARTPOSISJON;LOK.SLUTTPOSISJON;LOK.RETNING;LOK.SIDEPOSISJON;LOK.KJØREFELT;LOK.TYPEVEG;LOK.LENGDE;REL.FORELDER;REL.BARN;GEO.GEOMETRI;GEO.HØYDEREFERANSE;GEO.DATAFANGSTDATO;GEO.DATAFANGSTMETODE;GEO.NØYAKTIGHET;GEO.SYNBARHET;GEO.DATAFANGSTMETODEHØYDE;GEO.H-NØYAKTIGHET;GEO.MAX-AVVIK
711294829;46;2;1;;13.08.2024;;2025-04-30T11:43:16Z;Gardsbruk;;;;;;;202437782-2;07.08.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=581728;Utvidet bruk;13.08.2024;13.08.2027;;;;Privat;Privat;;Midtre Gauldal;5027;Trøndelag;50;;Skiltkontrakt Trøndelag FK 2020-2025,5001 Gauldal-Oppdal 2024-2029,E5051 Trøndelag Sør 2025-2028;FV6560 S2D1 m778;F;V;6560;2;1;777,51;777,51;72613;0,07833575;0,07833575;MED;V;;Enkel bilveg;0;;;POINT Z (264357.968 6986899.589 498.897);;;;;;;;
601255990;46;2;1;;12.08.2024;;2025-04-30T11:40:07Z;Gardsbruk;;;;;;;202432336-3;19.06.2024;https://trondelag.public360online.com/locator/DMS/Document/Details/Simplified/2?module=Document&subtype=2&recno=3120579&VerID=2934867;Utvidet bruk;12.08.2024;12.08.2027;;;;Privat;Privat;;Midtre Gauldal;5027;Trøndelag;50;;5005 Røros 2020-2025,Skiltkontrakt Trøndelag FK 2020-2025,5005 Røros 2025-2030,E5051 Trøndelag Sør 2025-2028;FV30 S5D1 m1052;F;V;30;5;1;1052;1052;72273;0,46147385;0,46147385;MED;V;;Enkel bilveg;0;;;POINT Z (287791.21 6987963.12 196.879);;;;;;;;
601256000;46;2;1;;14.11.2024;;2025-04-30T11:40:07Z;Skog/skogbruk;;;;;;;202448159-2;10.10.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=592157;Midlertidig tillatelse;29.10.2024;29.10.2027;;;Usikker på om denne avkjørselen er godkjent fra tidligere.;Privat;Privat;;Midtre Gauldal;5027;Trøndelag;50;;5005 Røros 2020-2025,Skiltkontrakt Trøndelag FK 2020-2025,5005 Røros 2025-2030,E5051 Trøndelag Sør 2025-2028;FV30 S5D1 m2915;F;V;30;5;1;2914,561;2914,561;72273;0,65362461;0,65362461;MED;V;;Enkel bilveg;0;;;POINT Z (289529.414 6988011.504 218.97);;;;;;;;
716506622;46;2;1;;15.05.2025;;2025-05-15T12:24:36Z;Bolig;;;;;;;202518851;15.04.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=616795#;Utvidet bruk;13.05.2025;13.05.2028;;;;Privat;Privat;;Melhus;5028;Trøndelag;50;;Skiltkontrakt Trøndelag FK 2020-2025,5001 Gauldal-Oppdal 2024-2029,E5051 Trøndelag Sør 2025-2028;FV6594 S1D1 m4277;F;V;6594;1;1;4277,393;4277,393;72875;0,42955343;0,42955343;MED;V;;Enkel bilveg;0;;;POINT Z (267054.97 7017363.928 174.301);;;;;;;;
716024751;46;2;1;;28.11.2024;;2025-04-30T11:44:27Z;Bolig;;;;;;;202450592-2 ;12.11.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=594616;Utvidet bruk;26.11.2024;26.11.2027;;;;Privat;Privat;;Skaun;5029;Trøndelag;50;;Skiltkontrakt Trøndelag FK 2020-2025,5001 Gauldal-Oppdal 2024-2029,E5051 Trøndelag Sør 2025-2028;FV708 S1D1 m8529;F;V;708;1;1;8529,329;8529,329;72317;0,71357633;0,71357633;MED;H;;Enkel bilveg;0;;;POINT Z (257067.94 7021978.637 152.294);;;;;;;;
719345046;46;2;1;;15.05.2025;;2025-05-15T07:46:58Z;Bolig;;;;;;;202521572;14.05.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=619521;Utvidet bruk;15.05.2025;;;;;Privat;Privat;;Skaun;5029;Trøndelag;50;;5010 Orkland 2022-2027,Skiltkontrakt Trøndelag FK 2020-2025,E5051 Trøndelag Sør 2025-2028;FV6626 S1D1 m596;F;V;6626;1;1;596,174;596,174;72659;0,06098035;0,06098035;MED;V;;Enkel bilveg;0;;;POINT Z (251262.08 7024521.183 68.35);;;;;;;;
719460568;46;2;1;;19.01.2025;;2025-04-30T11:46:30Z;Bolig;;;;;;;202453232-2;16.12.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=597297;Utvidet bruk;18.12.2024;18.12.2027;;;;Privat;Privat;;Skaun;5029;Trøndelag;50;;5010 Orkland 2022-2027,Skiltkontrakt Trøndelag FK 2020-2025,E5051 Trøndelag Sør 2025-2028;FV6634 S1D1 m1897;F;V;6634;1;1;1897,399;1897,399;72664;0,31424379;0,31424379;MED;V;;Enkel bilveg;0;;;POINT Z (250213.075 7032263.263 134.931);;;;;;;;
719460568;46;2;0;;19.01.2025;;2025-04-30T11:46:30Z;Bolig;;;;;;;202453232-2;16.12.2024;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=597297;Utvidet bruk;18.12.2024;18.12.2027;;;;Privat;Privat;;Skaun;5029;Trøndelag;50;;5010 Orkland 2022-2027,Skiltkontrakt Trøndelag FK 2020-2025,E5051 Trøndelag Sør 2025-2028;FV6634 S1D1 m1897;F;V;6634;1;1;1897,399;1897,399;72664;0,31424379;0,31424379;MED;V;;Enkel bilveg;0;;;POINT Z (250213.075 7032263.263 134.931);;;;;;;;
1022607902;46;1;1;;19.05.2025;;2025-05-19T11:22:11Z;Hytte;;;;;;;;23.04.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=617065#;Avslag;29.04.2025;;;;;Privat;Privat;;Skaun;5029;Trøndelag;50;;5010 Orkland 2022-2027,Skiltkontrakt Trøndelag FK 2020-2025,E5051 Trøndelag Sør 2025-2028;FV800 S3D1 m1539;F;V;800;3;1;1539;1539;72879;0,14834888;0,14834888;MED;H;;Enkel bilveg;0;;;POINT Z (252298.623 7033623.117 52.908);;;;;;;;
1024479996;46;1;1;;13.06.2025;;2025-06-13T11:10:43Z;Industri;;;;;;;202118399;23.05.2025;https://trondelag.public360online.com/locator/DMS/Case/Details/Simplified/2?module=Case&subtype=2&recno=393862;Midlertidig tillatelse;10.06.2025;01.08.2027;;;;Privat;Privat;;Malvik;5031;Trøndelag;50;;5007 Stjørdal 2020-2027,E5050 Signalanlegg Trondheim og Malvik 2022-2024,Skiltkontrakt Trøndelag FK 2020-2025,E5051 Trøndelag Sør 2025-2028;FV6706 S1D1 m1905;F;V;6706;1;1;1905;1905;72687;0,89799532;0,89799532;MED;;;Enkel bilveg;0;;;POINT Z (282054.26 7039941.043 100.387);;;;;;;;
