iter	Passed	Remaining
415	2748	5839
416	2754	5832
417	2761	5826
418	2769	5822
419	2776	5817
420	2783	5812
421	2791	5808
422	2799	5803
423	2806	5797
424	2812	5790
425	2818	5783
426	2825	5776
427	2831	5769
428	2838	5762
429	2844	5754
430	2850	5747
431	2856	5739
432	2862	5731
433	2868	5723
434	2874	5715
435	2880	5708
436	2887	5701
437	2892	5693
438	2898	5685
439	2905	5678
440	2911	5671
441	2917	5663
442	2923	5655
443	2929	5647
444	2935	5640
445	2941	5632
446	2947	5624
447	2953	5617
448	2959	5609
449	2965	5601
450	2971	5593
451	2977	5585
452	2983	5578
453	2989	5570
454	2995	5563
455	3002	5557
456	3008	5549
457	3014	5542
458	3020	5534
459	3027	5527
460	3033	5520
461	3039	5512
462	3045	5504
463	3051	5497
464	3057	5489
465	3063	5482
466	3069	5475
467	3076	5469
468	3082	5462
469	3088	5454
470	3094	5446
471	3099	5437
472	3105	5430
473	3112	5423
474	3118	5415
475	3124	5408
476	3129	5400
477	3135	5392
478	3141	5384
479	3147	5377
480	3153	5369
481	3159	5361
482	3165	5354
483	3171	5346
484	3177	5338
485	3182	5330
486	3188	5323
487	3194	5316
488	3201	5309
489	3207	5302
490	3213	5295
491	3220	5288
492	3225	5280
493	3232	5273
494	3238	5266
495	3244	5258
496	3250	5251
497	3256	5243
498	3262	5236
499	3268	5229
500	3274	5221
501	3280	5214
502	3285	5206
503	3291	5198
504	3297	5191
505	3303	5183
506	3309	5176
507	3315	5168
508	3320	5160
509	3326	5153
510	3332	5145
511	3338	5137
512	3344	5130
513	3350	5123
514	3356	5116
515	3362	5108
516	3368	5101
517	3374	5094
518	3380	5086
519	3389	5083
520	3395	5077
521	3402	5071
522	3409	5064
523	3415	5057
524	3422	5051
525	3428	5044
526	3433	5036
527	3439	5029
528	3445	5022
529	3451	5015
530	3457	5007
531	3463	4999
532	3469	4992
533	3475	4984
534	3481	4978
535	3487	4971
536	3493	4964
537	3499	4957
538	3507	4951
539	3513	4944
540	3520	4938
541	3526	4932
542	3533	4925
543	3539	4919
544	3546	4912
545	3552	4905
546	3558	4898
547	3565	4893
548	3572	4886
549	3579	4881
550	3585	4874
551	3592	4867
552	3598	4861
553	3605	4854
554	3611	4848
555	3618	4841
556	3624	4834
557	3630	4827
558	3636	4820
559	3643	4814
560	3649	4807
561	3655	4800
562	3661	4793
563	3667	4786
564	3673	4779
565	3680	4772
566	3686	4765
567	3692	4759
568	3698	4752
569	3705	4745
570	3711	4738
571	3717	4731
572	3723	4724
573	3729	4717
574	3735	4710
575	3741	4702
576	3747	4695
577	3753	4688
578	3759	4680
579	3764	4673
580	3790	4690
581	3796	4683
582	3802	4676
583	3808	4668
584	3814	4661
585	3820	4654
586	3826	4647
587	3832	4640
588	3838	4633
589	3844	4626
590	3850	4619
591	3856	4612
592	3863	4606
593	3870	4600
594	3876	4593
595	3883	4586
596	3888	4579
597	3894	4572
598	3900	4565
599	3906	4558
600	3912	4551
601	3918	4543
602	3924	4536
603	3930	4529
604	3936	4522
605	3942	4515
606	3948	4508
607	3955	4501
608	3961	4494
609	3967	4487
610	3973	4480
611	3979	4473
612	3985	4466
613	3991	4459
614	3997	4452
615	4003	4445
616	4009	4438
617	4015	4431
618	4022	4425
619	4028	4418
620	4034	4411
621	4041	4405
622	4047	4398
623	4053	4390
624	4060	4384
625	4066	4377
626	4072	4371
627	4079	4365
628	4086	4359
629	4092	4352
630	4101	4348
631	4107	4341
632	4113	4334
633	4119	4327
634	4125	4320
635	4131	4313
636	4137	4306
637	4143	4299
638	4150	4293
639	4156	4286
640	4161	4278
641	4167	4271
642	4173	4264
643	4178	4256
644	4184	4249
645	4190	4242
646	4196	4235
647	4202	4228
648	4208	4221
649	4214	4214
650	4220	4207
651	4226	4200
652	4233	4194
653	4238	4187
654	4245	4180
655	4251	4173
656	4257	4166
657	4263	4159
658	4269	4152
659	4275	4145
660	4281	4139
661	4287	4132
662	4294	4126
663	4301	4120
664	4308	4113
665	4314	4106
666	4320	4100
667	4326	4093
668	4332	4086
669	4338	4079
670	4344	4072
671	4350	4065
672	4357	4059
673	4363	4053
674	4369	4046
675	4376	4039
676	4382	4032
677	4388	4026
678	4394	4019
679	4400	4012
680	4406	4005
681	4412	3998
682	4418	3991
683	4424	3984
684	4430	3978
685	4437	3971
686	4443	3964
687	4449	3958
688	4456	3951
689	4462	3944
690	4468	3938
691	4474	3931
692	4482	3925
693	4488	3919
694	4494	3912
695	4501	3906
696	4507	3899
697	4513	3892
698	4519	3886
699	4525	3879
700	4532	3872
701	4539	3866
702	4544	3859
703	4551	3852
704	4557	3846
705	4563	3839
706	4569	3832
707	4575	3825
708	4581	3818
709	4587	3812
710	4594	3805
711	4600	3799
712	4606	3792
713	4612	3785
714	4618	3778
715	4624	3771
716	4630	3764
717	4636	3758
718	4644	3753
719	4650	3746
720	4656	3739
721	4661	3732
722	4667	3724
723	4672	3717
724	4679	3711
725	4685	3704
726	4692	3698
727	4697	3691
728	4705	3685
729	4711	3678
730	4717	3672
731	4723	3665
732	4729	3658
733	4735	3651
734	4741	3645
735	4747	3638
736	4754	3631
737	4760	3624
